"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-23 10:20:11",1763893211690,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893211579-b9528fc15025","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",230,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MWHAD598JYQ2XHT9AC81","TFUGnhNSQd1Z",1
"2025-11-23 10:20:11",1763893211214,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] ❌ Failed to load table screenshot: Error: Supabase Storage download failed: {""url"":""https://ggkrikijxollyolifdqs.supabase.co/storage/v1/object/extractions/extract-LDl_YFsxse/images/tables/table-1.png""}
    at i (.next/server/chunks/[root-of-the-server]__c915217b._.js:1:4042)
    at async c (.next/server/chunks/_41fe5453._.js:1:2248)
    at async d (.next/server/chunks/_41fe5453._.js:47:5701)
    at async c (.next/server/chunks/_41fe5453._.js:47:6739)
    at async y (.next/server/chunks/_41fe5453._.js:47:7817)","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","",-1
"2025-11-23 10:20:10",1763893210344,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Loading table screenshot...","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","",-1
"2025-11-23 10:20:10",1763893210344,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] ✓ Loaded paper index (9905 bytes)","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","",-1
"2025-11-23 10:20:08",1763893208439,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Loading paper context...","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","",-1
"2025-11-23 10:20:06",1763893206693,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 1: Samples for U-Pb ages of detrital zircons from Upper Cretaceous and Paleogene strata of the Cordilleran foreland (Utah) and the northern flank of the Mogollon Highlands (Arizona)","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","",-1
"2025-11-23 10:20:06",1763893206689,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","",-1
"2025-11-23 10:20:06",1763893206520,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893206147-e5b3b9549848","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",4982,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MQFRCD5PZBN67NNR8TQN","TFUGnhNSQd1Z",1
"2025-11-23 10:20:03",1763893203798,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse","GET","",-1,"6qzcw-1763893202092-b85dc88ba24f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Session API] Retrieved session: extract-LDl_YFsxse, state: analyzed","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MK8P01KWHS5VQ9XTRNFQ","",-1
"2025-11-23 10:20:02",1763893202674,"thermo-app.vercel.app/samples","GET","",200,"fr2t5-1763893202568-a56bf2f48086","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/samples","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",11,"iad1",120,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MKQK5R9H9ZMTWYEEEVPT","dMY5iMzpa7xb",1
