Sample No.,No. of grains,Ns,ρs [10^5 cm^-2],238U [ppm±1σ],232Th [ppm±1σ],eU [ppm±1σ],P(χ2) [%],Disp. [%],Pooled age [Ma±1σ],Central age [Ma±1σ],Dpar [μm±1σ],rmr0b,rmr0Dc,Cl [wt%],eCl [apfu],N length,Mean track length [μm±se],MTL St.Dev. [μm]
MU19-26,32,2450,27.9487,26.39±22.4,3.74±6.2,27.31±23.8,0,15.77,230.2±9.7,237.9±8.8,1.34±0.1,0.831,0.846,0.059,(cid:0),0.003,109,11.55±0.2,2.07
MU19-28,24,383,8.5166,12.56±4.5,0.04±0.1,12.57±4.5,12.39,15.2,143.9±8.8,148.1±9.1,1.5±0.2,0.798,0.838,0.293,0.137,102,11.72±0.2,2.02
MU19-29,20,186,10.0631,10.87±3.6,1.23±2.5,11.17±3.5,74.37,0,95.4±6.3,99.7±7.4,1.34±0.1,0.815,0.846,0.046,0.065,100,10.48±0.2,2.14
MU19-30,30,303,4.2340,13.33±6.2,2.19±2.0,13.87±6.6,91.16,0,68.8±3.5,71.1±4.1,1.24±0.1,0.825,0.852,0.035,0.023,99,12.05±0.2,2.14
MU19-33,32,775,11.3070,14.16±12.6,12.42±44.9,17.2±18.3,0.1,20.65,173.7±10.8,179.4±9.6,1.23±0.1,0.83,0.852,0.0140,(cid:0),0.001,121,11.19±0.2,1.92
MU19-34,26,1001,11.8437,10.1±6.5,0.74±1.2,10.28±6.7,0,20.55,257.0±15.0,258.0±14.2,1.46±0.1,0.831,0.84,0.026,(cid:0),0.003,107,11.25±0.2,1.84
MU19-36,32,1029,11.3164,12.24±8.6,0.8±0.8,12.44±8.7,0,25.01,199.4±11.7,201.0±11.4,1.38±0.1,0.83,0.844,0.043,(cid:0),0.001,103,11.44±0.2,1.80
MU19-37,31,1929,18.7324,16.19±8.9,0.66±0.9,16.35±9.1,0,25.47,249.9±14.8,264.2±13.9,1.67±0.1,0.829,0.828,0.063,0.003,104,11.47±0.2,1.95
MU19-39,32,1215,8.8639,16.76±7.9,0.93±0.6,16.99±8.0,0,28.16,115.9±8.2,118.2±6.9,1.66±0.1,0.828,0.829,0.047,0.007,109,11.99±0.2,1.92
MU19-47,33,418,4.5852,5.85±3.9,0.21±0.3,5.9±3.9,7.63,8.37,166.1±9.8,175.6±9.2,2.09±0.2,0.3,0.802,2.222,0.739,118,12.09±0.2,2.11
MU19-48,13,629,19.4414,14.6±7.4,1.1±2.3,14.86±7.2,0.59,16.63,289.2±20.1,294.6±19.2,1.55±0.1,0.835,25,10.15±0.4,2.08
MU19-49,24,239,17.9809,7.42±4.7,0.43±1.0,7.52±4.7,0,47.4,90.5±12.0,91.4±11.8,1.57±0.2,0.789,0.833,0.37,0.162,108,12.26±0.2,1.65
MU19-50,33,250,1.1261,13.32±5.7,0.57±0.4,13.46±5.8,59.64,0,17.7±1.1,18.9±1.2,1.38±0.1,0.825,0.844,0.068,0.023,112,11.85±0.2,1.97
MU19-51,33,349,1.6068,16.1±22.4,1.14±2.8,16.38±22.4,0.51,27.43,22.2±1.8,24.0±1.9,1.28±0.2,0.825,0.849,0.047,0.02,102,12.22±0.2,2.06
MU19-52,21,332,11.6053,14.68±17.2,19.27±44.3,19.4±22.3,0,46.36,116.4±15.5,103.8±13.6,1.81±0.4,0.808,0.818,0.307,0.08,111,10.99±0.2,1.77
MU19-53,24,277,9.1040,9.85±13.3,3.62±9.1,10.74±13.5,0,63.23,180.6±42.6,253.3±39.3,1.55±0.2,0.822,0.835,0.147,0.036,78,11.23±0.2,1.97
MU19-54,36,93,19.7226,4.94±2.4,0.42±0.9,5.05±2.5,30.59,0,43.5±6.5,60.8±6.2,1.34±0.2,0.803,0.846,0.089,0.118,47,11.51±0.3,2.20
